site,sampler,year,id,lat,long,pH,temp,spc,orp,do_mg,fe,s_ug,sio2,onlycren_CL,cren'_CL,cren_CL,RI_CL_cren,RI_CL_nocren,onlycren_IPL,cren'_IPL,cren_IPL,RI_IPL_cren,RI_IPL_nocren
Perpetual Spouter,WDL,2018,W1 ,44.7265959,-110.7091333,7.01,83.3,2792,-122.5,0.81,0.08,10,NA,0.01932743,0.002513605,0.021841035,2.79,2.74,0.014795175,0.001696102,0.016491278,2.5,2.46
Beowulf Main,WDL,2018,W2,44.73146632,-110.7113619,2.95,78.6,2117,-102,0.12,1.42,1580,NA,0,0,0,3.52,3.52,0,0,0,3.99,3.99
Beowulf Upper,WDL,2018,W3,44.73160042,-110.711316,2.9,68.8,2130,-39,0.7,1.44,470,NA,0.00724275,0,0.00724275,3.63,3.62,0,0,0,3.99,3.99
Beowulf Orange,WDL,2018,W4,44.73151872,-110.7113626,2.88,59,2165,207,1.99,1.42,170,NA,0.003289767,0,0.003289767,4.01,4.01,0,0,0,3.3,3.3
Dragon Left Source,WDL,2018,W5,44.73182751,-110.7111538,3.02,75.7,2040,-90,0.21,1.94,1080,NA,0,0,0,3.54,3.54,0,0,0,3.8,3.8
Dragon Stage Right Pool,WDL,2018,W6,44.73182323,-110.7109204,3.01,72.8,2018,-93.5,0.55,1.97,600,NA,0,0,0,3.58,3.58,0,0,0,3.57,3.57
Hot South Dragon Detached,WDL,2018,W7,44.73177654,-110.710901,3.06,78.5,1930,-129,0.09,NaN,NaN,NA,0,0,0,4.04,4.04,0,0,0,4.05,4.05
Cold Sulfur Pool (South Dragon Detached),WDL,2018,W8,44.73180894,-110.7110176,2.75,28.2,2489,159,0.45,NaN,NaN,NA,0,0,0,3.92,3.92,0.002563112,0.005199732,0.007762844,3.87,3.86
Cinder Pool (East Edge),WDL,2018,W9,44.73248347,-110.7097731,3.97,90,2500,-215,0.19,0.16,430,NA,0,0,0,3.62,3.62,0,0,0,3.98,3.98
Rabbit Creek Source Pool #1 (most Northly),WDL,2018,W10,44.52118852,-110.8117807,9.01,85.1,2042,-315,0.47,0.013,10,NA,0.007772126,0.007687057,0.015459183,1.6,1.54,0.00369865,0.009285816,0.012984466,2.17,2.13
Rabbit Creek Source Pool #2 (NEast),WDL,2018,W11,44.51987577,-110.8107627,9.02,89.1,2119,-331.7,0.6,0.02,1290,NA,0.005214411,0.002404193,0.007618603,1.52,1.5,0.002326737,0.006245001,0.008571739,2.32,2.3
Sour Rabbit,WDL,2018,W12,44.51986095,-110.8106863,4.9,79.7,140,-56.4,1.13,0.001,0,NA,0.008117966,0,0.008117966,4.05,4.04,0,0,0,3.81,3.81
Scaffold (Rabbit Creek Source #3 SE),WDL,2018,W13,44.51908219,-110.8091489,8.7,81.6,1760,-130.1,0.79,0,0,NA,0.011423223,0.001135484,0.012558706,2.37,2.34,0,0,0,1.99,1.99
Roadside Rabbit Creek Pool,WDL,2018,W14,44.51718997,-110.8227378,7.56,90,1852,-272.3,0.41,0.009,40,NA,0.013406795,0.00172296,0.015129755,2.63,2.59,0.007166355,0,0.007166355,2.82,2.8
Beryl WDL Spring,WDL,2019,W17,44.67871131,-110.7464929,6.76,88.2,2514,-255,0.48,0,153.3333333,145.3333333,0.004896878,0,0.004896878,2.44,2.43,0.002568489,0.001060312,0.003628801,1.89,1.88
Bijah Spring,WDL,2019,W18,44.7611,-110.73097,7.36,76,1470,-25,1.63,0,26.66666667,150,0.020657118,0.002157763,0.022814881,3.17,3.12,0.077682694,0.008028883,0.085711577,3.44,3.29
Yuppie Sulfur,WDL,2019,W19,44.72041,-110.71326,2.94,83.2,1182,267,0.29,0.163333333,16.66666667,127.5,0.002638818,0,0.002638818,3.52,3.52,0,0,0,3.68,3.68
Gassy Gibbon (above Gibbon creek),WDL,2019,W20,44.68406,-110.74355,6.83,88,48,-238,0.51,0.25,86.66666667,89.16666667,0.023652034,0.005264798,0.028916833,2.28,2.2,0.014245767,0.010887192,0.025132959,2.1,2.03
Acid Bridge,WDL,2019,Acid,44.73616,-110.70644,1.14,89.1,4473,311,0.22,NA,213,NA,0,0,0,4.23,4.23,0,0,0,4.43,4.43
No Parking Pool,AC,2022,AC1,44.4626324,-110.8529944,7.95,78.4,2200.371875,-102.196875,1.085625,0,0,NA,0.033803607,0,0.033803607,3.24,3.18,0.040633921,0.004265928,0.044899849,2.94,2.84
Snow on the Beach,AC,2022,AC2,44.463439,-110.852837,7.85,77.4,2233.937288,-123.7118644,1.946271186,0,0,NA,0.068099349,0.015617758,0.083717108,3.41,3.27,0.088743105,0,0.088743105,3.31,3.15
Beryl Runoff,AC,2022,AC3,44.6786827,-110.7464654,6.78,85.3,2518.337705,-288.3180328,0.67147541,NA,NA ,NA,0.005756139,0.004056169,0.009812308,2.32,2.29,0.006950198,0.010723339,0.017673537,1.97,1.92
Beryl Main Overhang,AC,2022,AC4,44.6786622,-110.7465117,6.5,89.6,2513.447368,-334.2105263,0.407105263,NA,NA ,NA,0.002519976,0,0.002519976,2.22,2.21,0.000341485,0,0.000341485,2.15,2.15
Beryl Side,AC,2022,AC5,44.67871513,-110.7465258,6.6,88.2,2524.914754,-310.4327869,0.473934426,NA,NA ,NA,0.005054061,0.00217702,0.007231081,2.29,2.27,0.00090573,0.005021787,0.005927517,2.12,2.1
Splash Mountain,DC,2020,Spla,44.69032,-110.72993,1.963,84.3,3409,330.8,0.387,NA,47,227,0,0,0,3.4,3.4,0,0,0,4.19,4.19
Corner Thing,DC,2020,Corn,44.69067,-110.72977,6.077,85.8,5380,3,0.013,0,515,201.5,0.008655168,0.005618526,0.014273694,2.34,2.3,0.001602818,0.004040009,0.005642827,2.05,2.03
Black Hole Sun,DC,2020,Bla,44.69038,-110.7289,6.017,77.3,5090,53.9,0.164,0,73,223,0.016785606,0.003463892,0.020249498,2.66,2.61,0.009439825,0.003838878,0.013278702,1.95,1.91
Angel Hair,DC,2020,Angel,44.7536,-110.40418,6.525,77.4,1998,29.9,0.07,NA,2500,236,0.130846877,0.034193509,0.165040386,2.09,1.52,0.117003854,0.049401126,0.16640498,1.88,1.25
Bone Pool,DC,2020,Bone,44.68915,-110.7285,6.607,73.7,5180,20.2,0.842,0,16,173.5,0.013099283,0.005670636,0.018769919,2.46,2.41,0.008743523,0.002689111,0.011432634,2.65,2.62
Spitting Croissant,DC,2020,Croi,44.69033,-110.72935,3.423,82.9,2465,236.8,0.152,NA,150,156.5,0.002862369,0,0.002862369,3.92,3.91,0,0,0,4.15,4.15
Citronella,DC,2020,Citr,44.75154,-110.4151,8,74.1,4107,-68.4,1.02,0,2570,500,0.011915602,0.001403206,0.013318808,2.68,2.65,0,0,0,1.55,1.55
Obsidian,DC,2019,Obsi,44.61006,-110.43882,5.901,70.7,1121,90.8,NA,0.21,130,125.17,0.006859903,0.011870696,0.018730599,2.02,1.96,0,0,0,3.6,3.6
Bubbling Blonde,DC,2019,Bubb,44.73616,-110.70649,5.02,70,3635,NA,0.048,NA,7858,115,0,0,0,3.66,3.66,0.001948997,0.007201181,0.009150178,1.61,1.58
Boulder Spring,DC,2019,Boul,44.55878,-110.844,8.41,90.5,4040,-99,0.025,0,2190,210,0.002979794,0.00768971,0.010669504,2.38,2.35,0.001769233,0.005499873,0.007269106,2.74,2.72
River (Broken Dreams),DC,2019,Riv,44.56153,-110.83685,6.26,80.6,3702,51.1,0.014,0,319,221,0.007814191,0.010213258,0.018027449,2.55,2.51,0.003597479,0.007021452,0.010618931,2.66,2.63
The Hammer,DC,2019,Ham,44.51987,-110.81077,8.991,86.9,4369,-132,0.334,0,1190,NA,0.009589359,0.008938781,0.01852814,1.68,1.62,0.00390565,0.007097981,0.01100363,2.08,2.05
Mound Spring,DC,2019,Mound,44.56485,-110.86005,8.58,92.8,3830,-110.6,0.005,0,1092,389.5,0.009506557,0.022130423,0.03163698,2.27,2.18,0,0.032192658,0.032192658,2.4,2.31
Figure 8,DC,2019,Fig,44.60993,-110.43939,3.03,66.3,4124,256.1,NA,0.053,13,166.5,0,0,0,3.95,3.95,0,0,0,4.07,4.07
Scaffold (Rabbit's Nest),DC,2019,Scaf,44.51914,-110.80914,8.78,80.6,3602,-115,1.151,0,23,245.5,0,0,0,2.65,2.65,0,0,0,2.29,2.29
Mom's Spaghetti,DC,2019,Spag,44.50889,-110.80895,7.16,79.4,905,-2.7,1.013,0,0,317,0.149925656,0,0.149925656,3.06,2.71,0.298538409,0.035889698,0.334428107,3.73,3.09
Azure Pool,DC,2019,Az,44.56097,-110.83286,8.727,77.2,3447,-116.5,0.826,0,345,264,0.001785411,0.009334476,0.011119887,2.25,2.22,0,0.016911602,0.016911602,2.08,2.03
